url,t,epoch,hashtag_profile,tag_profile,score
http://www.bbc.co.uk/news/entertainment-arts-39730515,2017-04-27T09:55:24+00:00,1493286924.0,{},"{'foster_hopkins': 0.041666666666666664, 'jodie_foster': 0.041666666666666664, 'jonathan_demme': 0.041666666666666664, 'lambs': 0.041666666666666664, 'sir_anthony': 0.041666666666666664, 'sir_anthony_hopkins': 0.041666666666666664}",0.00040631474411513557
http://www.bbc.co.uk/news/world-us-canada-35520636,2016-02-08T12:10:48+00:00,1454933448.0,{},"{'beyonce': 0.05, 'figures': 0.05, 'music': 0.05, 'super_bowl': 0.05, 'tribute': 0.05}",0.00040631474411513557
http://www.bbc.co.uk/news/blogs-magazine-monitor-34043635,2015-08-28T16:05:27+00:00,1440777927.0,{},"{'features': 0.05, 'martin_seddon': 0.05, 'piece': 0.05, 'reads': 0.05, 'week': 0.05}",0.00040631474411513557
http://www.bbc.co.uk/news/world-middle-east-34764971,2015-11-09T10:59:07+00:00,1447066747.0,"{'#megh': 0.3422020945372205, '#yemen': 0.3161619020662327, '#socotra': 0.20803849419756584, '#cyclone': 0.13359750919898103}","{'#megh': 0.25665157090291535, '#yemen': 0.2371214265496745, '#socotra': 0.1560288706481744, '#cyclone': 0.10019813189923577, 'cyclone_megh': 0.05, 'island': 0.05, 'socotra': 0.05, 'yemen': 0.05, 'yemeni': 0.05}",0.0003921342153615228
http://www.bbc.co.uk/news/science-environment-35950946,2016-04-05T17:42:22+00:00,1459878142.0,{},"{'chicxulub_crater': 0.05, 'earth': 0.05, 'end': 0.05, 'scar': 0.05, 'way': 0.05}",0.0003665487961965714
http://www.bbc.co.uk/news/world-us-canada-37412122,2016-09-21T16:42:04+00:00,1474476124.0,"{'#brangelina': 0.5401023890784984, '#bradpitt': 0.18941979522184293, '#angelinajolie': 0.2704778156996587}","{'#brangelina': 0.4050767918088738, '#bradpitt': 0.1420648464163822, '#angelinajolie': 0.202858361774744, 'angelina_jolie': 0.05, 'brad_pitt': 0.05, 'brangelina': 0.05, 'hollywood': 0.05, 'superstars': 0.05}",0.0003549685541218314
http://www.bbc.co.uk/news/business-36576511,2016-06-28T23:28:30+00:00,1467156510.0,{},"{'chef': 0.05, 'food': 0.05, 'nobel': 0.05, 'prize': 0.05, 'university': 0.05}",0.0003549685541218314
http://www.bbc.co.uk/news/world-latin-america-35548605,2016-02-12T00:40:35+00:00,1455237635.0,{},"{'antigua': 0.05, 'atlantic_ocean': 0.05, 'dockyard': 0.05, 'nelson': 0.05, 'wednesday': 0.05}",0.0003549685541218314
http://www.bbc.co.uk/sport/0/cricket/34156382,2015-09-06T07:24:00+00:00,1441524240.0,{},"{'ashes': 0.05, 'big_bash_league': 0.05, 'england_vice-captain_heather_knight': 0.05, 'heather_knight': 0.05, 'women': 0.05}",0.0003549685541218314
http://www.bbc.co.uk/news/world-latin-america-33865822,2015-08-16T00:04:58+00:00,1439683498.0,"{'#caribbean': 0.5501905972045743, '#volcano': 0.44980940279542564}","{'#caribbean': 0.4126429479034307, '#volcano': 0.33735705209656924, 'caribbean': 0.05, 'gemma_handy': 0.05, 'island': 0.05, 'living': 0.05, 'montserrat': 0.05}",0.0003549685541218314
http://www.bbc.co.uk/sport/0/cricket/35939988,2016-04-07T23:45:59.498688+00:00,1460072759.0,{'#cricket': 1.0},"{'#cricket': 0.75, 'bbc_sport': 0.05, 'dalai_lama': 0.05, 'england': 0.05, 'heather_knight': 0.05, 'share': 0.05}",0.00034409763278281163
http://www.bbc.co.uk/sport/0/football/34990399,2015-12-02T23:59:00+00:00,1449100740.0,"{'#ssnhq': 0.611111111111111, '#lfc': 0.3888888888888889}","{'#ssnhq': 0.45833333333333326, '#lfc': 0.2916666666666667, 'daniel_sturridge': 0.05, 'jurgen_klopp': 0.05, 'liverpool': 0.05, 'now': 0.05, 'southampton': 0.05}",0.00034409763278281163
http://www.bbc.co.uk/news/world-latin-america-33330432,2015-07-18T23:28:11+00:00,1437262091.0,{},"{'cuba': 0.05, 'la_gloria': 0.05, 'states': 0.05, 'the_bbc': 0.05, 'will_grant': 0.05}",0.00034409763278281163
